age,gender,education,income,loan_amount,credit_score,employment_years,debt_ratio,approved
28,Male,Bachelor,45000,15000,680,3,0.28,1
34,Female,Master,72000,25000,720,8,0.22,1
45,Male,High School,38000,8000,610,15,0.40,0
23,Female,Bachelor,31000,5000,590,1,0.35,0
52,Male,PhD,95000,40000,780,25,0.15,1
29,Female,Bachelor,48000,12000,700,5,0.25,1
41,Male,High School,30000,10000,580,12,0.50,0
36,Female,Master,85000,30000,750,10,0.18,1
27,Male,Bachelor,42000,9000,640,4,0.32,0
55,Female,PhD,110000,45000,810,30,0.12,1
31,Male,High School,28000,7000,560,6,0.55,0
44,Female,Bachelor,60000,20000,695,18,0.27,1
26,Male,Master,53000,14000,710,2,0.23,1
39,Female,High School,34000,9000,600,14,0.42,0
48,Male,Bachelor,70000,22000,735,22,0.20,1
22,Female,Bachelor,29000,6000,575,0,0.38,0
57,Male,Master,100000,35000,790,32,0.14,1
33,Female,Bachelor,56000,18000,705,7,0.26,1
42,Male,High School,32000,11000,570,16,0.48,0
25,Female,Master,61000,16000,730,3,0.21,1
60,Male,PhD,120000,50000,820,38,0.10,1
30,Female,Bachelor,44000,10000,660,5,0.30,1
37,Male,High School,29000,8000,590,11,0.46,0
50,Female,Bachelor,75000,28000,745,24,0.19,1
24,Male,Bachelor,38000,8500,620,1,0.36,0
46,Female,Master,90000,32000,760,20,0.16,1
35,Male,Bachelor,52000,15000,698,9,0.28,1
29,Female,High School,27000,6500,555,4,0.52,0
53,Male,Master,105000,42000,800,28,0.13,1
38,Female,Bachelor,63000,19000,715,12,0.24,1
43,Male,High School,31000,9500,565,17,0.49,0
21,Female,Bachelor,30000,5500,580,0,0.40,0
49,Male,PhD,98000,38000,785,26,0.15,1
32,Female,Master,79000,27000,748,6,0.19,1
40,Male,Bachelor,55000,17000,700,14,0.29,1
27,Female,High School,26000,6000,545,2,0.56,0
58,Male,Master,115000,48000,815,35,0.11,1
31,Female,Bachelor,49000,13000,685,6,0.27,1
44,Male,High School,33000,10500,575,18,0.47,0
23,Female,Bachelor,32000,7000,600,1,0.37,0
51,Male,PhD,102000,41000,795,27,0.14,1
36,Female,Bachelor,67000,21000,720,10,0.23,1
28,Male,High School,28500,7500,560,3,0.51,0
47,Female,Master,88000,31000,755,22,0.17,1
33,Male,Bachelor,50000,14000,693,7,0.31,1
42,Female,High School,30500,9000,582,16,0.44,0
26,Male,Master,58000,15500,726,2,0.22,1
55,Female,PhD,112000,46000,818,32,0.11,1
38,Male,Bachelor,61000,18500,710,12,0.26,1
30,Female,High School,25000,6000,542,5,0.58,0
45,Male,Bachelor,68000,22500,738,19,0.21,1
25,Female,Bachelor,35000,7500,608,1,0.38,0
59,Male,Master,118000,49000,822,37,0.10,1
34,Female,Bachelor,57000,17500,703,8,0.25,1
41,Male,High School,31500,10000,568,15,0.48,0
22,Female,Bachelor,28000,5000,572,0,0.42,0
52,Male,PhD,100000,39500,792,28,0.15,1
37,Female,Master,82000,29000,752,11,0.18,1
29,Male,Bachelor,46000,11500,675,4,0.33,0
48,Female,Bachelor,74000,27000,742,23,0.20,1
24,Male,High School,27500,7000,553,1,0.54,0
56,Female,Master,108000,44000,812,34,0.12,1
32,Male,Bachelor,53000,16000,697,6,0.29,1
43,Female,High School,29500,8500,577,17,0.46,0
27,Male,Master,60000,15000,722,3,0.24,1
50,Female,PhD,96000,37000,783,26,0.16,1
35,Male,Bachelor,54000,16500,701,9,0.27,1
28,Female,High School,25500,6000,548,3,0.57,0
46,Male,Bachelor,71000,23000,736,20,0.22,1
31,Female,Bachelor,47000,11000,672,5,0.34,0
40,Male,High School,32500,10500,572,14,0.49,0
23,Female,Bachelor,31500,6500,592,1,0.39,0
54,Male,Master,107000,43000,805,30,0.13,1
39,Female,Bachelor,65000,20500,718,13,0.24,1
26,Male,High School,26500,6500,550,2,0.55,0
49,Female,PhD,94000,36500,780,25,0.17,1
36,Male,Bachelor,56000,17000,702,10,0.28,1
30,Female,High School,24500,5500,540,4,0.60,0
57,Male,Master,116000,47500,819,36,0.11,1
33,Female,Bachelor,55000,17000,706,7,0.26,1
